Attr1_Str_qu,Attr2_OpPr_qu,Attr3_Costamount_norm,Attr4_RdDi_norm,Attr5_BrDi_norm,Attr5_Str_Type1,Attr5_Str_Type2,Attr5_Str_Type3,Attr6_Major_Type1,Attr6_Major_Type2,Attr7_Cshn1,Attr7_Cshn2,Attr7_Cshn3,Attr7_Cshn4,Attr8_Repha1,Attr8_Repha2,Attr8_Repha3,Attr9_Frctn0,Attr9_Frctn1,Attr10_Snsr0,Attr10_Snsr1,partnumber,s_nm,s_country,s_region,p_nm,p_bu,p_region
0.473684211,0.272727273,-0.400493374,-0.572919027,-0.359088607,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,48115229,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.578947368,0.272727273,-0.201481071,0.185352872,0.175428918,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,51415222,SERTA S A,France,Region_2,WMF-EU (GRAND ISLAND),AW,Region_2
0.263157895,0.272727273,-0.369027363,0.40969367,0.599649175,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,84540259,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,CNH CONSTRUCTION EQUIPMENT IND / PITHAMPUR,CE,Region_4
0.157894737,0.272727273,-0.455378144,-0.038987927,0.599649175,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,90332473,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH ANTWERPEN BELGIUM,AG,Region_2
0.315789474,0.727272727,-0.055734658,-0.003093399,0.183913323,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,47922068,ROSENBOOM MACHINE TOOL,United States,Region_1,WMF-NA (BELO HORIZONTE),CW,Region_1
0.947368421,1,-0.12567659,-0.290249621,-0.53443298,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,48095114,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.263157895,0,-0.607678667,-1.160691919,-0.955825102,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,87546274,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0.894736842,0.454545455,-0.263014254,-0.285762805,-0.53443298,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,47416042,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
0.105263158,0.272727273,-0.536227875,-0.487669523,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47582878,OGNIBENE POWER S.P.A.,Italy,Region_2,CNH MODENA PLANT,AG,Region_2
0.894736842,0.454545455,-0.263014254,-0.285762805,-0.53443298,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,47416040,ROSENBOOM MACHINE TOOL,United States,Region_1,WICHITA MANUFACTURING PLANT,CE,Region_1
